# ICC Profile MPE CurveSet Export
# Tag: AToB1Tag
# Element: 0
# Channels: 3
# Samples: 4096
# Format: input(normalized 0-1) <tab> ch0_output ... chN_output
#
input	ch0	ch1	ch2
0.083028086	0.007587800	0.007587800	0.007587800
0.083272286	0.007620059	0.007620059	0.007620059
0.083516486	0.007652398	0.007652398	0.007652398
0.083760686	0.007684815	0.007684815	0.007684815
0.084004886	0.007717314	0.007717314	0.007717314
0.084249087	0.007749893	0.007749893	0.007749893
0.084493287	0.007782550	0.007782550	0.007782550
0.084737487	0.007815288	0.007815288	0.007815288
0.084981687	0.007848108	0.007848108	0.007848108
0.085225888	0.007881005	0.007881005	0.007881005
0.085470088	0.007913985	0.007913985	0.007913985
0.085714288	0.007947044	0.007947044	0.007947044
0.085958488	0.007980185	0.007980185	0.007980185
0.086202689	0.008013406	0.008013406	0.008013406
0.086446889	0.008046705	0.008046705	0.008046705
0.086691089	0.008080088	0.008080088	0.008080088
0.086935289	0.008113551	0.008113551	0.008113551
0.087179489	0.008147092	0.008147092	0.008147092
0.087423690	0.008180716	0.008180716	0.008180716
0.087667890	0.008214422	0.008214422	0.008214422
0.087912090	0.008248205	0.008248205	0.008248205
0.088156290	0.008282073	0.008282073	0.008282073
0.088400491	0.008316020	0.008316020	0.008316020
0.088644691	0.008350047	0.008350047	0.008350047
0.088888891	0.008384158	0.008384158	0.008384158
0.089133091	0.008418349	0.008418349	0.008418349
0.089377292	0.008452619	0.008452619	0.008452619
0.089621492	0.008486973	0.008486973	0.008486973
0.089865692	0.008521408	0.008521408	0.008521408
0.090109892	0.008555922	0.008555922	0.008555922
0.090354092	0.008590519	0.008590519	0.008590519
0.090598293	0.008625196	0.008625196	0.008625196
0.090842493	0.008659958	0.008659958	0.008659958
0.091086693	0.008694800	0.008694800	0.008694800
0.091330893	0.008729721	0.008729721	0.008729721
0.091575094	0.008764727	0.008764727	0.008764727
0.091819294	0.008799815	0.008799815	0.008799815
0.092063494	0.008834981	0.008834981	0.008834981
0.092307694	0.008870233	0.008870233	0.008870233
0.092551894	0.008905566	0.008905566	0.008905566
0.092796095	0.008940979	0.008940979	0.008940979
0.093040295	0.008976475	0.008976475	0.008976475
0.093284495	0.009012055	0.009012055	0.009012055
0.093528695	0.009047713	0.009047713	0.009047713
