# ICC Profile MPE CurveSet Export
# Tag: BToA1Tag
# Element: 1
# Channels: 3
# Samples: 4096
# Format: input(normalized 0-1) <tab> ch0_output ... chN_output
#
input	ch0	ch1	ch2
0.037851039	0.214640349	0.214640349	0.214640349
0.038095240	0.215363801	0.215363801	0.215363801
0.038339440	0.216084599	0.216084599	0.216084599
0.038583640	0.216802686	0.216802686	0.216802686
0.038827840	0.217518151	0.217518151	0.217518151
0.039072040	0.218230993	0.218230993	0.218230993
0.039316241	0.218941242	0.218941242	0.218941242
0.039560441	0.219648927	0.219648927	0.219648927
0.039804641	0.220354080	0.220354080	0.220354080
0.040048841	0.221056670	0.221056670	0.221056670
0.040293042	0.221756816	0.221756816	0.221756816
0.040537242	0.222454458	0.222454458	0.222454458
0.040781442	0.223149657	0.223149657	0.223149657
0.041025642	0.223842442	0.223842442	0.223842442
0.041269843	0.224532813	0.224532813	0.224532813
0.041514043	0.225220799	0.225220799	0.225220799
0.041758243	0.225906432	0.225906432	0.225906432
0.042002443	0.226589739	0.226589739	0.226589739
0.042246643	0.227270752	0.227270752	0.227270752
0.042490844	0.227949440	0.227949440	0.227949440
0.042735044	0.228625894	0.228625894	0.228625894
0.042979244	0.229300052	0.229300052	0.229300052
0.043223444	0.229971975	0.229971975	0.229971975
0.043467645	0.230641723	0.230641723	0.230641723
0.043711845	0.231309295	0.231309295	0.231309295
0.043956045	0.231974632	0.231974632	0.231974632
0.044200245	0.232637882	0.232637882	0.232637882
0.044444446	0.233298957	0.233298957	0.233298957
0.044688646	0.233957916	0.233957916	0.233957916
0.044932846	0.234614789	0.234614789	0.234614789
0.045177046	0.235269576	0.235269576	0.235269576
0.045421246	0.235922307	0.235922307	0.235922307
0.045665447	0.236573011	0.236573011	0.236573011
0.045909647	0.237221658	0.237221658	0.237221658
0.046153847	0.237868309	0.237868309	0.237868309
0.046398047	0.238512993	0.238512993	0.238512993
0.046642248	0.239155650	0.239155650	0.239155650
0.046886448	0.239796400	0.239796400	0.239796400
0.047130648	0.240435153	0.240435153	0.240435153
0.047374848	0.241071999	0.241071999	0.241071999
0.047619049	0.241706967	0.241706967	0.241706967
0.047863249	0.242339998	0.242339998	0.242339998
0.048107449	0.242971152	0.242971152	0.242971152
0.048351649	0.243600458	0.243600458	0.243600458
0.048595849	0.244227916	0.244227916	0.244227916
0.048840050	0.244853497	0.244853497	0.244853497
0.049084250	0.245477289	0.245477289	0.245477289
0.049328450	0.246099263	0.246099263	0.246099263
0.049572650	0.246719450	0.246719450	0.246719450
0.049816851	0.247337878	0.247337878	0.247337878
