warning: 422 functions have mismatched data
Filename                                                                          Regions    Missed Regions     Cover   Functions  Missed Functions  Executed       Lines      Missed Lines     Cover    Branches   Missed Branches     Cover
home/h02332/po/research/cfl/iccDEV/IccXML/IccLibXML/IccMpeXml.cpp                    1667               594    64.37%          77                21    72.73%        2793              1190    57.39%        1196               506    57.69%
home/h02332/po/research/cfl/iccDEV/IccXML/IccLibXML/IccMpeXml.h                        69                13    81.16%          66                13    80.30%          66                13    80.30%           0                 0         -
home/h02332/po/research/cfl/iccDEV/IccXML/IccLibXML/IccMpeXmlFactory.cpp               20                 0   100.00%           2                 0   100.00%          43                 0   100.00%          36                 0   100.00%
home/h02332/po/research/cfl/iccDEV/IccXML/IccLibXML/IccProfileXml.cpp                 506                37    92.69%           7                 0   100.00%         683                75    89.02%         400                61    84.75%
home/h02332/po/research/cfl/iccDEV/IccXML/IccLibXML/IccProfileXml.h                     8                 5    37.50%           6                 4    33.33%           6                 4    33.33%           0                 0         -
home/h02332/po/research/cfl/iccDEV/IccXML/IccLibXML/IccTagXml.cpp                    2569              1213    52.78%         110                29    73.64%        4102              2016    50.85%        1786               982    45.02%
home/h02332/po/research/cfl/iccDEV/IccXML/IccLibXML/IccTagXml.h                       167                72    56.89%         153                64    58.17%         153                64    58.17%           0                 0         -
home/h02332/po/research/cfl/iccDEV/IccXML/IccLibXML/IccTagXmlFactory.cpp               57                 6    89.47%           5                 0   100.00%         117                 9    92.31%         104                 6    94.23%
home/h02332/po/research/cfl/iccDEV/IccXML/IccLibXML/IccUtilXml.cpp                    868               313    63.94%          72                24    66.67%        1068               405    62.08%         628               281    55.25%
home/h02332/po/research/cfl/iccDEV/IccXML/IccLibXML/IccUtilXml.h                        6                 2    66.67%           6                 2    66.67%           6                 2    66.67%           0                 0         -
home/h02332/po/research/cfl/iccDEV/Tools/CmdLine/IccApplyProfiles/TiffImg.cpp         186                48    74.19%          10                 1    90.00%         303                82    72.94%         136                51    62.50%
home/h02332/po/research/cfl/iccDEV/Tools/CmdLine/IccApplyProfiles/TiffImg.h            12                 5    58.33%          12                 5    58.33%          12                 5    58.33%           0                 0         -
home/h02332/po/research/cfl/icc_apply_fuzzer.cpp                                       58                 7    87.93%           1                 0   100.00%          61                12    80.33%          44                12    72.73%
home/h02332/po/research/cfl/icc_applynamedcmm_fuzzer.cpp                              110                16    85.45%           1                 0   100.00%         200                45    77.50%          92                22    76.09%
home/h02332/po/research/cfl/icc_applyprofiles_fuzzer.cpp                               13                12     7.69%           4                 3    25.00%          13                 8    38.46%           6                 6     0.00%
home/h02332/po/research/cfl/icc_calculator_fuzzer.cpp                                  36                 7    80.56%           1                 0   100.00%          59                 8    86.44%          26                 8    69.23%
home/h02332/po/research/cfl/icc_deep_dump_fuzzer.cpp                                  641               158    75.35%          14                 0   100.00%         665                72    89.17%         418               142    66.03%
home/h02332/po/research/cfl/icc_dump_fuzzer.cpp                                        61                 0   100.00%           1                 0   100.00%          87                 0   100.00%          52                 1    98.08%
home/h02332/po/research/cfl/icc_fromcube_fuzzer.cpp                                   264                32    87.88%          18                 1    94.44%         319                50    84.33%         186                37    80.11%
home/h02332/po/research/cfl/icc_fromxml_fuzzer.cpp                                     63                 8    87.30%           3                 0   100.00%          78                 9    88.46%          42                12    71.43%
home/h02332/po/research/cfl/icc_io_fuzzer.cpp                                          32                 3    90.62%           1                 0   100.00%          48                 6    87.50%          24                10    58.33%
home/h02332/po/research/cfl/icc_multitag_fuzzer.cpp                                    27                 7    74.07%           1                 0   100.00%          57                 8    85.96%          18                 6    66.67%
home/h02332/po/research/cfl/icc_profile_fuzzer.cpp                                     31                 6    80.65%           1                 0   100.00%          74                14    81.08%          24                 7    70.83%
home/h02332/po/research/cfl/icc_roundtrip_fuzzer.cpp                                   37                 4    89.19%           5                 0   100.00%          87                 7    91.95%          26                 5    80.77%
home/h02332/po/research/cfl/icc_specsep_fuzzer.cpp                                    126                23    81.75%           4                 2    50.00%         187                44    76.47%          92                31    66.30%
home/h02332/po/research/cfl/icc_spectral_b_fuzzer.cpp                                 127                21    83.46%           4                 2    50.00%         160                20    87.50%          92                25    72.83%
home/h02332/po/research/cfl/icc_spectral_fuzzer.cpp                                    73                12    83.56%           1                 0   100.00%          95                17    82.11%          30                 9    70.00%
home/h02332/po/research/cfl/icc_tiffdump_fuzzer.cpp                                   115                16    86.09%          11                 3    72.73%         143                22    84.62%          94                19    79.79%
